CodigoNacional;momento;HR_Valor
170001;15-05-2013 12:00:00;28.0
170001;28-08-2013 15:00:00;31.0
170001;28-08-2013 16:00:00;26.0
170001;28-08-2013 17:00:00;27.0
170001;28-08-2013 18:00:00;28.0
170001;28-08-2013 19:00:00;26.0
170001;28-08-2013 20:00:00;29.0
170001;28-08-2013 21:00:00;47.0
170001;28-08-2013 22:00:00;61.0
170001;28-08-2013 23:00:00;90.0
170001;29-08-2013 00:00:00;96.0
170001;29-08-2013 01:00:00;94.0
170001;29-08-2013 02:00:00;91.0
170001;29-08-2013 03:00:00;89.0
170001;29-08-2013 04:00:00;89.0
170001;29-08-2013 05:00:00;89.0
170001;29-08-2013 06:00:00;93.0
170001;29-08-2013 07:00:00;92.0
170001;29-08-2013 08:00:00;94.0
170001;29-08-2013 09:00:00;95.0
170001;29-08-2013 10:00:00;93.0
170001;29-08-2013 11:00:00;95.0
170001;29-08-2013 12:00:00;93.0
170001;29-08-2013 13:00:00;84.0
170001;29-08-2013 14:00:00;71.0
170001;29-08-2013 15:00:00;43.0
170001;29-08-2013 16:00:00;34.0
170001;29-08-2013 17:00:00;31.0
170001;29-08-2013 18:00:00;28.0
170001;29-08-2013 19:00:00;46.0
170001;29-08-2013 20:00:00;53.0
170001;29-08-2013 21:00:00;47.0
170001;29-08-2013 22:00:00;55.0
170001;29-08-2013 23:00:00;74.0
170001;30-08-2013 00:00:00;75.0
170001;30-08-2013 01:00:00;75.0
170001;30-08-2013 02:00:00;74.0
170001;30-08-2013 03:00:00;74.0
170001;30-08-2013 04:00:00;75.0
170001;30-08-2013 05:00:00;75.0
170001;30-08-2013 06:00:00;67.0
170001;30-08-2013 07:00:00;73.0
170001;30-08-2013 08:00:00;83.0
170001;30-08-2013 09:00:00;85.0
170001;30-08-2013 10:00:00;86.0
170001;30-08-2013 11:00:00;90.0
170001;30-08-2013 12:00:00;72.0
170001;30-08-2013 13:00:00;59.0
170001;30-08-2013 14:00:00;46.0
170001;30-08-2013 15:00:00;32.0
170001;30-08-2013 16:00:00;12.0
170001;30-08-2013 17:00:00;10.0
170001;30-08-2013 18:00:00;9.0
170001;30-08-2013 19:00:00;11.0
170001;30-08-2013 20:00:00;14.0
170001;30-08-2013 21:00:00;17.0
170001;30-08-2013 22:00:00;21.0
170001;30-08-2013 23:00:00;28.0
170001;31-08-2013 00:00:00;31.0
170001;31-08-2013 01:00:00;33.0
170001;31-08-2013 02:00:00;37.0
170001;31-08-2013 03:00:00;41.0
170001;31-08-2013 04:00:00;35.0
170001;31-08-2013 05:00:00;46.0
170001;31-08-2013 06:00:00;51.0
170001;31-08-2013 07:00:00;55.0
170001;31-08-2013 08:00:00;57.0
170001;31-08-2013 09:00:00;56.0
170001;31-08-2013 10:00:00;57.0
170001;31-08-2013 11:00:00;57.0
170001;31-08-2013 12:00:00;46.0
170001;31-08-2013 13:00:00;36.0
170001;31-08-2013 14:00:00;22.0
170001;31-08-2013 15:00:00;18.0
170001;31-08-2013 16:00:00;14.0
170001;31-08-2013 17:00:00;17.0
170001;31-08-2013 18:00:00;11.0
170001;31-08-2013 19:00:00;12.0
170001;31-08-2013 20:00:00;20.0
170001;31-08-2013 21:00:00;24.0
170001;31-08-2013 22:00:00;27.0
170001;31-08-2013 23:00:00;31.0
170001;01-09-2013 00:00:00;36.0
170001;01-09-2013 01:00:00;43.0
170001;01-09-2013 02:00:00;51.0
170001;01-09-2013 03:00:00;54.0
170001;01-09-2013 04:00:00;53.0
170001;01-09-2013 05:00:00;51.0
170001;01-09-2013 06:00:00;49.0
170001;01-09-2013 07:00:00;54.0
170001;01-09-2013 08:00:00;63.0
170001;01-09-2013 09:00:00;63.0
