CodigoNacional;momento;dd_Valor;ff_Valor;VRB_Valor
170001;15-05-2013 12:00:00;0.0;0.0;0.0
170001;28-08-2013 15:00:00;49.0;5.0;0.0
170001;28-08-2013 16:00:00;53.0;6.0;0.0
170001;28-08-2013 17:00:00;37.0;9.0;0.0
170001;28-08-2013 18:00:00;64.0;7.0;0.0
170001;28-08-2013 19:00:00;52.0;10.0;0.0
170001;28-08-2013 20:00:00;51.0;10.0;0.0
170001;28-08-2013 21:00:00;39.0;12.0;0.0
170001;28-08-2013 22:00:00;205.0;4.0;0.0
170001;28-08-2013 23:00:00;228.0;6.0;0.0
170001;29-08-2013 00:00:00;177.0;3.0;0.0
170001;29-08-2013 01:00:00;169.0;5.0;0.0
170001;29-08-2013 02:00:00;331.0;1.0;0.0
170001;29-08-2013 03:00:00;105.0;2.0;0.0
170001;29-08-2013 04:00:00;118.0;3.0;0.0
170001;29-08-2013 05:00:00;105.0;4.0;0.0
170001;29-08-2013 06:00:00;153.0;1.0;0.0
170001;29-08-2013 07:00:00;151.0;3.0;0.0
170001;29-08-2013 08:00:00;0.0;0.0;0.0
170001;29-08-2013 09:00:00;61.0;1.0;0.0
170001;29-08-2013 10:00:00;320.0;1.0;0.0
170001;29-08-2013 11:00:00;331.0;1.0;0.0
170001;29-08-2013 12:00:00;196.0;2.0;0.0
170001;29-08-2013 13:00:00;206.0;1.0;0.0
170001;29-08-2013 14:00:00;176.0;1.0;0.0
170001;29-08-2013 15:00:00;333.0;7.0;0.0
170001;29-08-2013 16:00:00;348.0;9.0;0.0
170001;29-08-2013 17:00:00;358.0;10.0;0.0
170001;29-08-2013 18:00:00;54.0;3.0;0.0
170001;29-08-2013 19:00:00;214.0;15.0;0.0
170001;29-08-2013 20:00:00;266.0;13.0;0.0
170001;29-08-2013 21:00:00;261.0;12.0;0.0
170001;29-08-2013 22:00:00;66.0;7.0;0.0
170001;29-08-2013 23:00:00;25.0;7.0;0.0
170001;30-08-2013 00:00:00;336.0;1.0;0.0
170001;30-08-2013 01:00:00;86.0;1.0;0.0
170001;30-08-2013 02:00:00;299.0;1.0;0.0
170001;30-08-2013 03:00:00;351.0;1.0;0.0
170001;30-08-2013 04:00:00;0.0;0.0;0.0
170001;30-08-2013 05:00:00;313.0;2.0;0.0
170001;30-08-2013 06:00:00;304.0;2.0;0.0
170001;30-08-2013 07:00:00;92.0;3.0;0.0
170001;30-08-2013 08:00:00;0.0;0.0;0.0
170001;30-08-2013 09:00:00;290.0;1.0;0.0
170001;30-08-2013 10:00:00;310.0;1.0;0.0
170001;30-08-2013 11:00:00;316.0;2.0;0.0
170001;30-08-2013 12:00:00;268.0;3.0;0.0
170001;30-08-2013 13:00:00;120.0;3.0;0.0
170001;30-08-2013 14:00:00;134.0;5.0;0.0
170001;30-08-2013 15:00:00;106.0;5.0;0.0
170001;30-08-2013 16:00:00;245.0;7.0;0.0
170001;30-08-2013 17:00:00;287.0;10.0;0.0
170001;30-08-2013 18:00:00;229.0;8.0;0.0
170001;30-08-2013 19:00:00;259.0;7.0;0.0
170001;30-08-2013 20:00:00;217.0;14.0;0.0
170001;30-08-2013 21:00:00;221.0;14.0;0.0
170001;30-08-2013 22:00:00;207.0;10.0;0.0
170001;30-08-2013 23:00:00;190.0;9.0;0.0
170001;31-08-2013 00:00:00;210.0;7.0;0.0
170001;31-08-2013 01:00:00;212.0;8.0;0.0
170001;31-08-2013 02:00:00;274.0;4.0;0.0
170001;31-08-2013 03:00:00;276.0;7.0;0.0
170001;31-08-2013 04:00:00;308.0;9.0;0.0
170001;31-08-2013 05:00:00;333.0;2.0;0.0
170001;31-08-2013 06:00:00;276.0;3.0;0.0
170001;31-08-2013 07:00:00;329.0;2.0;0.0
170001;31-08-2013 08:00:00;305.0;3.0;0.0
170001;31-08-2013 09:00:00;302.0;3.0;0.0
170001;31-08-2013 10:00:00;304.0;2.0;0.0
170001;31-08-2013 11:00:00;292.0;2.0;0.0
170001;31-08-2013 12:00:00;282.0;2.0;0.0
170001;31-08-2013 13:00:00;126.0;4.0;0.0
170001;31-08-2013 14:00:00;46.0;3.0;0.0
170001;31-08-2013 15:00:00;38.0;4.0;0.0
170001;31-08-2013 16:00:00;327.0;5.0;0.0
170001;31-08-2013 17:00:00;190.0;4.0;0.0
170001;31-08-2013 18:00:00;51.0;3.0;0.0
170001;31-08-2013 19:00:00;195.0;13.0;0.0
170001;31-08-2013 20:00:00;198.0;20.0;0.0
170001;31-08-2013 21:00:00;210.0;19.0;0.0
170001;31-08-2013 22:00:00;226.0;19.0;0.0
170001;31-08-2013 23:00:00;228.0;14.0;0.0
170001;01-09-2013 00:00:00;226.0;12.0;0.0
170001;01-09-2013 01:00:00;210.0;9.0;0.0
170001;01-09-2013 02:00:00;218.0;1.0;0.0
170001;01-09-2013 03:00:00;108.0;1.0;0.0
170001;01-09-2013 04:00:00;324.0;1.0;0.0
170001;01-09-2013 05:00:00;320.0;2.0;0.0
170001;01-09-2013 06:00:00;315.0;5.0;0.0
170001;01-09-2013 07:00:00;329.0;2.0;0.0
170001;01-09-2013 08:00:00;67.0;2.0;0.0
170001;01-09-2013 09:00:00;294.0;2.0;0.0
170001;01-09-2013 10:00:00;264.0;1.0;0.0
170001;01-09-2013 11:00:00;330.0;2.0;0.0
170001;01-09-2013 12:00:00;0.0;0.0;0.0
170001;01-09-2013 13:00:00;111.0;6.0;0.0
170001;01-09-2013 14:00:00;173.0;2.0;0.0
170001;01-09-2013 15:00:00;239.0;10.0;0.0
170001;01-09-2013 16:00:00;229.0;11.0;0.0
170001;01-09-2013 17:00:00;247.0;11.0;0.0
170001;01-09-2013 18:00:00;240.0;13.0;0.0
170001;01-09-2013 19:00:00;238.0;13.0;0.0
170001;01-09-2013 20:00:00;234.0;12.0;0.0
170001;01-09-2013 21:00:00;228.0;12.0;0.0
170001;01-09-2013 22:00:00;201.0;14.0;0.0
170001;01-09-2013 23:00:00;215.0;9.0;0.0
170001;02-09-2013 00:00:00;255.0;5.0;0.0
170001;02-09-2013 01:00:00;272.0;3.0;0.0
170001;02-09-2013 02:00:00;288.0;3.0;0.0
170001;02-09-2013 03:00:00;301.0;6.0;0.0
170001;02-09-2013 04:00:00;265.0;4.0;0.0
170001;02-09-2013 05:00:00;302.0;3.0;0.0
170001;02-09-2013 06:00:00;265.0;4.0;0.0
170001;02-09-2013 07:00:00;84.0;2.0;0.0
170001;02-09-2013 08:00:00;356.0;3.0;0.0
170001;02-09-2013 09:00:00;278.0;1.0;0.0
170001;02-09-2013 10:00:00;290.0;2.0;0.0
170001;02-09-2013 11:00:00;305.0;2.0;0.0
170001;02-09-2013 12:00:00;254.0;3.0;0.0
170001;02-09-2013 13:00:00;301.0;2.0;0.0
170001;02-09-2013 14:00:00;137.0;3.0;0.0
170001;02-09-2013 15:00:00;139.0;4.0;0.0
170001;02-09-2013 16:00:00;57.0;5.0;0.0
170001;02-09-2013 17:00:00;136.0;13.0;0.0
170001;02-09-2013 18:00:00;214.0;14.0;0.0
170001;02-09-2013 19:00:00;213.0;17.0;0.0
170001;02-09-2013 20:00:00;209.0;17.0;0.0
170001;02-09-2013 21:00:00;212.0;17.0;0.0
170001;02-09-2013 22:00:00;216.0;14.0;0.0
170001;02-09-2013 23:00:00;224.0;7.0;0.0
170001;03-09-2013 00:00:00;31.0;2.0;0.0
170001;03-09-2013 01:00:00;260.0;7.0;0.0
170001;03-09-2013 02:00:00;303.0;6.0;0.0
170001;03-09-2013 03:00:00;273.0;4.0;0.0
170001;03-09-2013 04:00:00;41.0;4.0;0.0
170001;03-09-2013 05:00:00;332.0;5.0;0.0
170001;03-09-2013 06:00:00;303.0;2.0;0.0
170001;03-09-2013 07:00:00;327.0;2.0;0.0
170001;03-09-2013 08:00:00;284.0;1.0;0.0
170001;03-09-2013 09:00:00;300.0;2.0;0.0
170001;03-09-2013 10:00:00;308.0;1.0;0.0
170001;03-09-2013 11:00:00;310.0;3.0;0.0
170001;03-09-2013 12:00:00;132.0;3.0;0.0
170001;03-09-2013 13:00:00;82.0;1.0;0.0
170001;03-09-2013 14:00:00;114.0;4.0;0.0
170001;03-09-2013 15:00:00;84.0;4.0;0.0
170001;03-09-2013 16:00:00;88.0;5.0;0.0
170001;03-09-2013 17:00:00;131.0;7.0;0.0
170001;03-09-2013 18:00:00;123.0;9.0;0.0
170001;03-09-2013 19:00:00;96.0;7.0;0.0
170001;03-09-2013 20:00:00;155.0;12.0;0.0
170001;03-09-2013 21:00:00;214.0;13.0;0.0
170001;03-09-2013 22:00:00;210.0;14.0;0.0
170001;03-09-2013 23:00:00;248.0;7.0;0.0
170001;04-09-2013 00:00:00;238.0;5.0;0.0
170001;04-09-2013 01:00:00;0.0;0.0;0.0
170001;04-09-2013 02:00:00;311.0;2.0;0.0
170001;04-09-2013 03:00:00;274.0;6.0;0.0
170001;04-09-2013 04:00:00;318.0;2.0;0.0
170001;04-09-2013 05:00:00;289.0;3.0;0.0
170001;04-09-2013 06:00:00;306.0;2.0;0.0
170001;04-09-2013 07:00:00;316.0;1.0;0.0
170001;04-09-2013 08:00:00;0.0;0.0;0.0
170001;04-09-2013 09:00:00;294.0;1.0;0.0
170001;04-09-2013 10:00:00;296.0;1.0;0.0
170001;04-09-2013 11:00:00;316.0;3.0;0.0
170001;04-09-2013 12:00:00;253.0;1.0;0.0
170001;04-09-2013 13:00:00;110.0;1.0;0.0
170001;04-09-2013 14:00:00;133.0;4.0;0.0
170001;04-09-2013 15:00:00;121.0;5.0;0.0
170001;04-09-2013 16:00:00;23.0;4.0;0.0
170001;04-09-2013 17:00:00;217.0;3.0;0.0
170001;04-09-2013 18:00:00;122.0;5.0;0.0
170001;04-09-2013 19:00:00;156.0;4.0;0.0
170001;04-09-2013 20:00:00;210.0;12.0;0.0
170001;04-09-2013 21:00:00;201.0;16.0;0.0
170001;04-09-2013 22:00:00;220.0;14.0;0.0
170001;04-09-2013 23:00:00;208.0;13.0;0.0
170001;05-09-2013 00:00:00;235.0;6.0;0.0
170001;05-09-2013 01:00:00;241.0;5.0;0.0
170001;05-09-2013 02:00:00;274.0;5.0;0.0
170001;05-09-2013 03:00:00;274.0;3.0;0.0
170001;05-09-2013 04:00:00;267.0;2.0;0.0
170001;05-09-2013 05:00:00;56.0;2.0;0.0
170001;05-09-2013 06:00:00;319.0;4.0;0.0
170001;05-09-2013 07:00:00;296.0;2.0;0.0
170001;05-09-2013 08:00:00;287.0;1.0;0.0
170001;05-09-2013 09:00:00;290.0;2.0;0.0
170001;05-09-2013 10:00:00;301.0;1.0;0.0
170001;05-09-2013 11:00:00;278.0;1.0;0.0
170001;05-09-2013 12:00:00;225.0;1.0;0.0
170001;05-09-2013 13:00:00;118.0;3.0;0.0
170001;05-09-2013 14:00:00;92.0;3.0;0.0
170001;05-09-2013 15:00:00;115.0;6.0;0.0
170001;05-09-2013 16:00:00;81.0;5.0;0.0
170001;05-09-2013 17:00:00;121.0;6.0;0.0
170001;05-09-2013 18:00:00;326.0;9.0;0.0
170001;05-09-2013 19:00:00;230.0;5.0;0.0
170001;05-09-2013 20:00:00;214.0;11.0;0.0
170001;05-09-2013 21:00:00;210.0;11.0;0.0
170001;05-09-2013 22:00:00;219.0;12.0;0.0
170001;05-09-2013 23:00:00;223.0;11.0;0.0
170001;06-09-2013 00:00:00;229.0;8.0;0.0
170001;06-09-2013 01:00:00;236.0;6.0;0.0
170001;06-09-2013 02:00:00;242.0;5.0;0.0
170001;06-09-2013 03:00:00;275.0;2.0;0.0
170001;06-09-2013 04:00:00;299.0;2.0;0.0
170001;06-09-2013 05:00:00;270.0;2.0;0.0
170001;06-09-2013 06:00:00;334.0;4.0;0.0
170001;06-09-2013 07:00:00;0.0;0.0;0.0
170001;06-09-2013 08:00:00;259.0;1.0;0.0
170001;06-09-2013 09:00:00;331.0;2.0;0.0
170001;06-09-2013 10:00:00;248.0;1.0;0.0
